Username,Items,World,Combat,Skulled,DefLvl, Distance, Health, TotalGp
"Man","test","msparkes0@springhow.com","Engineering"
faq, mithril, 308, 38, Skulled, 25, 5, health, totalGp
faq, mithril, 308, 38, Skulled, 25, 5, health, totalGp
My name is ryan and I am 17 years old.,,
ryan,17,200,faker,ryan,17,200,faker,1,
ryan,17,200,faker,ryan,17,200,faker,1,
test,17,200,faker,ryan,17,200,faker,1,
test2,17,200,faker,ryan,17,200,faker,1
test2,17,200,faker,ryan,17,200,faker,1
test3,17,200,faker,ryan,17,200,faker,1
test3,17,200,faker,ryan,17,200,faker,1,test
rstest,17,200,faker,ryan,17,200,faker,1,
testinv1,17,200,faker,ryan,17,200,faker,1,
testinv1,17,200,faker,ryan,17,200,faker,1,
testinv2,17,200,faker,ryan,17,200,faker,1,
rs,17,200,faker,ryan,17,200,faker,1,
rs,17,200,faker,ryan,17,200,faker,1,
